"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
1,1111114,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),39.513,36.956,36.698,34.178,35.312,26.312,25.479
2,1087114,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),30.877,31.971,26.212,24.797,25.634,16.9,16.787
3,1093114,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),32.821,25.249,25.688,24.389,24.67,16.9,16.787
4,1246114,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),-,24.175,25.493,25.533,25.749,16.9,16.787
5,1263114,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),-,36.01,37.013,36.189,37.228,35.367,28.611
6,1079114,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,-,-,-,25.204,25.591,16.9,16.787
7,1091114,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,-,-,-,25.056,26.716,16.9,16.787
8,1164114,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,31.852,33.743,33.651,30.959,30.685,26.712,16.787
9,1170114,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,-,-,24.608,25.065,25.485,16.9,16.787
10,1249114,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,37.654,37.036,34.915,34.708,34.101,24.192,25.969
11,1114114,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,28.043,33.102,33.025,29.751,29.251,16.9,16.787
12,1229114,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",-,-,25.178,30.96,29.674,25.029,16.787
